duration,src_bytes,dst_bytes,protocol,service,state,src_port,dst_port,attack_type
0.5294,1263,2751,icmp,ftp-data,CON,47620,5,Normal
0.1157,1409,3429,udp,ftp-data,REQ,59067,814,Normal
1.4019,2821,1626,icmp,dns,RST,53804,941,Normal
4.264,338,303,udp,http,FIN,39779,370,Normal
0.2815,2640,2700,icmp,-,RST,48374,64,Normal
0.2584,3692,1876,icmp,ftp,CON,23366,773,Normal
0.1338,2338,2985,tcp,ftp-data,RST,44469,14,Normal
1.4557,2893,2824,tcp,-,FIN,46468,348,Normal
0.4164,469,1559,udp,http,FIN,54893,948,Normal
1.4704,3271,2033,icmp,-,INT,30791,116,Normal
1.6318,4670,1818,udp,irc,FIN,52427,136,Normal
0.4796,4999,855,udp,ftp,INT,22568,956,Normal
2.031,535,3422,tcp,-,CON,7459,218,Normal
0.1237,440,2451,tcp,smtp,FIN,19834,856,Normal
0.3241,1506,4618,udp,smtp,RST,18305,227,Normal
0.8605,2750,4128,tcp,smtp,FIN,35101,53,Normal
0.5027,4435,3180,tcp,smtp,RST,39763,870,Normal
0.2065,516,984,icmp,ftp-data,CON,55219,520,Normal
1.1516,3613,4388,icmp,ftp,FIN,24112,659,Normal
1.3972,1134,2557,udp,ftp,RST,53606,471,Normal
1.4149,3986,889,icmp,ftp,CON,26292,425,Normal
2.2808,2638,4295,tcp,http,INT,27832,514,Normal
0.0251,1790,2198,tcp,ftp,RST,47488,866,Normal
0.4516,4441,173,udp,dns,FIN,5072,355,Normal
1.0117,3596,3691,icmp,ftp-data,REQ,15783,249,Normal
0.0871,3940,720,icmp,http,RST,18434,300,Normal
0.6986,1817,2562,udp,dns,RST,17700,297,Normal
0.1874,800,2765,icmp,http,INT,42082,426,Normal
2.7855,1596,568,tcp,smtp,CON,27439,212,Normal
0.3426,2661,741,tcp,-,FIN,28452,113,Normal
0.376,2766,4059,udp,smtp,REQ,10403,370,Normal
1.3004,3968,4139,icmp,-,CON,35767,887,Normal
2.0996,2095,3941,icmp,http,FIN,36578,860,Normal
1.436,813,2680,icmp,smtp,REQ,15152,524,Normal
1.2106,4179,1620,udp,-,FIN,27060,231,Normal
1.0978,441,4846,udp,dns,INT,7143,132,Normal
3.4678,686,711,tcp,dns,RST,13037,860,Normal
0.52,1153,3454,icmp,smtp,INT,51270,72,Normal
2.7584,4060,835,udp,dns,REQ,35511,490,Normal
3.0079,1828,1061,udp,ssh,INT,19484,1015,Normal
0.2797,2769,2596,udp,ftp,RST,62406,340,Normal
2.1413,2820,226,tcp,ftp-data,RST,24225,467,Normal
0.5839,4822,146,udp,http,RST,57715,603,Normal
0.4322,944,3269,udp,smtp,REQ,38334,509,Normal
0.117,3997,2851,udp,ftp,REQ,58937,281,Normal
2.9392,3158,3576,tcp,ftp,REQ,47169,163,Normal
1.6305,4053,508,tcp,dns,RST,64025,430,Normal
0.7204,595,4342,tcp,-,FIN,58863,217,Normal
1.112,3348,773,tcp,dns,FIN,63817,262,Normal
0.3705,1558,3580,udp,ftp-data,REQ,39785,696,Normal
2.2264,3484,837,tcp,http,RST,55463,263,Normal
0.8063,2268,694,udp,-,REQ,19439,993,Normal
5.4365,3950,3402,icmp,smtp,INT,14951,594,Normal
1.2828,4257,803,icmp,http,REQ,62840,529,Normal
0.9554,878,1527,udp,ftp-data,CON,59716,731,Normal
0.9639,248,836,icmp,-,CON,19501,796,Normal
0.2473,2167,4812,tcp,-,FIN,37384,794,Normal
2.3472,1570,3331,tcp,ftp-data,RST,53997,663,Normal
1.982,2746,4497,icmp,dns,RST,11461,915,Normal
1.4454,99,3950,icmp,ftp-data,FIN,10905,795,Normal
0.1342,4807,1593,tcp,ssh,FIN,51171,772,Normal
0.1763,4378,293,tcp,ftp,FIN,51982,695,Normal
3.8705,788,2530,udp,smtp,FIN,34603,221,Normal
0.5763,4135,1855,tcp,irc,INT,48973,210,Normal
1.3177,2264,4309,icmp,irc,RST,13925,170,Normal
1.7057,4964,1116,tcp,http,FIN,8437,764,Normal
1.9572,2531,834,tcp,ftp-data,REQ,57200,122,Normal
0.7111,726,2742,udp,ftp,RST,18261,289,Normal
0.3793,1977,4346,icmp,ftp-data,RST,26223,829,Normal
0.1671,3414,3608,udp,dns,CON,20865,762,Normal
0.18,663,2742,tcp,smtp,CON,60765,421,Normal
1.5986,1875,2661,icmp,smtp,REQ,6656,186,Normal
0.4885,3915,975,tcp,ftp,FIN,42010,270,Normal
0.2346,2354,116,icmp,ssh,REQ,40197,361,Normal
2.7395,1957,2214,icmp,ssh,RST,22860,49,Normal
0.2904,4846,992,udp,http,REQ,38101,965,Normal
0.6082,3380,3110,icmp,ssh,REQ,60105,972,Normal
2.1876,814,3045,tcp,dns,REQ,35116,346,Normal
0.6446,3112,434,udp,smtp,REQ,61558,228,Normal
0.7551,390,3734,tcp,ssh,FIN,41390,156,Normal
0.4569,4486,570,icmp,smtp,INT,9518,669,Normal
2.7179,4028,637,icmp,ssh,CON,35288,65,Normal
0.6889,453,4567,icmp,smtp,REQ,4950,221,Normal
1.9284,1024,3134,udp,dns,FIN,16904,304,Normal
0.9934,295,1117,tcp,dns,RST,10042,269,Normal
0.3324,1265,1657,icmp,http,CON,21803,904,Normal
1.7332,4840,2357,udp,smtp,FIN,22239,449,Normal
0.7041,4927,3723,udp,-,FIN,22010,902,Normal
1.8796,3826,3177,icmp,http,CON,63615,165,Normal
0.8082,94,1196,udp,-,FIN,54008,452,Normal
0.5831,2914,3624,tcp,dns,REQ,44393,807,Normal
1.2203,648,3501,tcp,dns,INT,13453,387,Normal
1.4761,3310,3810,icmp,http,INT,21667,651,Normal
1.416,1129,206,udp,ftp,RST,22667,290,Normal
0.9548,1039,832,icmp,ssh,REQ,54489,509,Normal
1.6524,4478,1295,tcp,dns,FIN,61064,646,Normal
1.8682,4514,1267,udp,irc,FIN,37525,98,Normal
0.5498,4074,1967,udp,irc,FIN,64811,809,Normal
1.4687,4420,260,icmp,ssh,CON,13247,50,Normal
0.4593,4960,1851,udp,ftp-data,CON,46232,278,Normal
1.1761,1674,1631,udp,ftp,INT,20202,496,Normal
0.0732,3034,2364,tcp,irc,FIN,48663,246,Normal
1.9419,419,4845,icmp,http,CON,52059,8,Normal
1.0704,2374,2178,icmp,smtp,CON,6874,541,Normal
0.4843,2598,1795,icmp,ssh,FIN,17767,885,Normal
0.1017,4715,965,icmp,http,INT,39387,254,Normal
0.5729,4925,4754,icmp,dns,RST,64231,37,Normal
0.0851,2407,1708,udp,http,RST,28454,563,Normal
0.7104,2598,68,tcp,ftp-data,INT,6263,302,Normal
0.3144,2248,525,udp,irc,INT,43318,391,Normal
0.7208,57,2856,udp,irc,RST,10743,160,Normal
2.357,1629,1904,udp,smtp,CON,37406,181,Normal
0.5114,1633,260,icmp,irc,FIN,51496,152,Normal
2.1823,2198,4839,udp,http,INT,28447,846,Normal
0.1027,4680,4343,tcp,ssh,RST,27708,289,Normal
0.0183,1474,125,icmp,ftp,CON,33586,427,Normal
0.069,114,916,icmp,ssh,INT,9935,287,Normal
0.1843,4078,2321,tcp,-,FIN,18453,542,Normal
0.1906,2114,1769,udp,ftp-data,RST,64687,715,Normal
1.1956,1841,1585,udp,ftp-data,REQ,50484,151,Normal
0.6641,2124,3517,tcp,ssh,INT,56959,907,Normal
1.3898,1093,2782,tcp,http,FIN,57534,605,Normal
1.5068,1601,2318,tcp,ssh,INT,28146,288,Normal
0.2397,3373,2948,tcp,irc,RST,4128,449,Normal
2.2092,4381,35,tcp,irc,REQ,42367,433,Normal
1.0125,1472,1241,tcp,ftp,CON,59575,552,Normal
0.2614,1641,88,udp,smtp,RST,20951,160,Normal
0.1865,4072,3686,tcp,ftp,RST,2636,992,Normal
4.7476,4340,1645,icmp,ftp-data,CON,52164,417,Normal
4.6012,170,4859,tcp,ftp-data,RST,36949,725,Normal
0.7546,2446,3534,udp,ftp,CON,8170,325,Normal
0.4413,2965,143,icmp,smtp,CON,31113,900,Normal
0.4319,965,1557,icmp,ftp,RST,47779,256,Normal
1.3102,956,600,icmp,irc,RST,20715,272,Normal
0.0141,637,3332,udp,smtp,INT,37725,854,Normal
0.3145,725,3932,tcp,dns,REQ,6596,408,Normal
0.2048,3959,3253,udp,irc,FIN,30499,144,Normal
0.1182,4126,3117,udp,-,FIN,3799,994,Normal
4.3505,4680,401,udp,irc,INT,15774,170,Normal
0.0089,3490,2250,udp,http,FIN,24736,795,Normal
1.2587,2286,4870,tcp,smtp,INT,53753,231,Normal
0.6778,1217,2728,tcp,ssh,INT,42435,1021,Normal
0.3005,4415,2544,udp,http,CON,47297,975,Normal
0.5836,4373,4969,icmp,http,FIN,32130,117,Normal
2.7143,3120,4370,udp,-,FIN,64756,301,Normal
1.0199,1502,4457,tcp,irc,INT,31238,627,Normal
1.8559,4310,4361,tcp,-,FIN,63967,979,Normal
0.7912,1637,1964,icmp,ssh,FIN,51641,44,Normal
2.8784,1522,3874,udp,dns,INT,7844,824,Normal
0.6989,4283,1206,udp,irc,FIN,48424,377,Normal
0.3247,2381,1002,icmp,ftp,FIN,57339,557,Normal
1.1398,2542,944,udp,ftp,REQ,6160,354,Normal
0.3613,1607,841,icmp,smtp,FIN,6910,276,Normal
0.2573,268,2712,tcp,ftp-data,CON,56904,435,Normal
0.1646,3156,2387,tcp,irc,FIN,21403,795,Normal
1.9993,2996,3514,udp,smtp,INT,64261,330,Normal
0.8647,3936,3041,tcp,-,CON,7711,747,Normal
1.184,374,1888,tcp,smtp,CON,28352,892,Normal
6.0966,2892,1002,icmp,ftp-data,CON,21962,570,Normal
3.9735,4945,3482,udp,dns,REQ,33808,218,Normal
0.6687,782,4898,icmp,irc,INT,60850,637,Normal
0.7907,1561,0,udp,irc,RST,40514,360,Normal
1.6347,2490,1106,icmp,http,INT,3120,396,Normal
0.0447,2413,2905,icmp,irc,RST,35881,148,Normal
0.1579,316,307,icmp,irc,CON,16970,739,Normal
2.0681,1525,4400,udp,dns,INT,9062,39,Normal
0.5215,1533,3103,tcp,http,RST,26464,252,Normal
0.5014,540,346,icmp,http,REQ,7105,382,Normal
3.3828,270,3467,tcp,ftp,RST,63707,339,Normal
0.3605,3369,2807,tcp,irc,REQ,8603,150,Normal
0.5419,1084,1284,tcp,-,REQ,18311,618,Normal
0.4205,2589,161,udp,ssh,INT,50291,763,Normal
5.4271,3879,3198,udp,http,REQ,61750,481,Normal
0.3055,959,4015,icmp,smtp,FIN,11835,913,Normal
1.4531,2364,4000,tcp,ftp,RST,41516,25,Normal
3.6173,3445,1382,icmp,irc,FIN,25948,998,Normal
1.7035,43,2717,udp,smtp,INT,34558,569,Normal
0.4429,3231,2700,tcp,ftp-data,RST,28362,972,Normal
0.4777,4679,2774,udp,irc,REQ,39528,950,Normal
0.2545,238,2173,udp,smtp,INT,28967,617,Normal
0.0997,2911,3653,udp,ftp-data,CON,56119,276,Normal
3.6793,3461,2453,icmp,ftp-data,RST,3214,180,Normal
0.2179,692,3223,tcp,-,CON,17306,269,Normal
4.936,2126,1473,udp,smtp,RST,4775,991,Normal
0.4392,2791,2441,icmp,ftp-data,INT,37327,970,Normal
0.1702,2895,2338,udp,-,FIN,24831,476,Normal
0.2431,110,1632,tcp,ssh,REQ,18980,339,Normal
0.0875,2147,3078,udp,ftp,FIN,6101,496,Normal
1.5797,4487,3545,icmp,smtp,RST,53603,85,Normal
0.0006,3161,2209,udp,dns,CON,52726,340,Normal
0.8619,130,3909,icmp,http,FIN,48609,4,Normal
1.5669,3804,315,icmp,http,CON,16841,407,Normal
0.9072,4764,3344,tcp,ssh,FIN,56695,696,Normal
0.1754,580,876,tcp,dns,FIN,60976,651,Normal
2.2782,4523,2575,tcp,http,REQ,57862,233,Normal
3.57,4325,3246,icmp,irc,RST,24812,8,Normal
0.5435,2219,3431,icmp,-,CON,64117,465,Normal
0.6861,3240,1114,icmp,-,FIN,43393,28,Normal
0.7283,704,3368,udp,ftp-data,CON,20496,214,Normal
0.1543,1276,1345,icmp,smtp,INT,24708,914,Normal
1.0402,4069,1782,udp,ssh,FIN,35245,709,Normal
0.2678,1112,4438,icmp,irc,REQ,2869,629,Normal
0.2596,1979,3700,icmp,smtp,REQ,17435,22,Normal
0.387,1349,988,udp,ftp,RST,58920,1018,Normal
0.8366,3353,560,udp,-,RST,32042,178,Normal
1.1401,2896,2302,icmp,ftp-data,RST,26359,447,Normal
0.5962,3852,1506,udp,http,REQ,35937,976,Normal
1.0745,240,759,icmp,ftp,INT,45376,348,Normal
1.7887,2103,242,udp,irc,RST,24572,746,Normal
1.2742,3948,3411,icmp,smtp,RST,54241,664,Normal
2.7723,3936,2139,udp,-,REQ,26290,507,Normal
0.5781,1473,3908,icmp,dns,RST,21123,384,Normal
0.4018,4199,2497,icmp,ftp-data,CON,44577,964,Normal
0.0325,864,4180,udp,dns,RST,16507,52,Normal
0.8979,3105,1800,tcp,irc,FIN,46415,795,Normal
0.1518,506,1626,tcp,dns,RST,22048,752,Normal
3.1662,4576,4024,udp,dns,RST,60037,98,Normal
0.5297,222,2364,udp,smtp,FIN,32497,630,Normal
1.4825,4697,1947,udp,irc,FIN,19781,497,Normal
0.4729,1630,1980,udp,dns,INT,31031,171,Normal
0.8468,916,195,tcp,ftp,RST,14193,595,Normal
2.665,1565,2676,icmp,dns,CON,14148,978,Normal
1.3069,294,3212,tcp,smtp,CON,24642,395,Normal
1.2391,1654,3562,tcp,dns,RST,39312,260,Normal
0.3716,2154,2963,tcp,smtp,CON,3660,451,Normal
2.23,1722,73,icmp,ftp,CON,3393,209,Normal
0.1683,439,1857,tcp,ftp-data,RST,2997,182,Normal
0.0221,1047,705,udp,ftp-data,INT,10817,222,Normal
0.1444,3439,3534,tcp,smtp,REQ,8476,13,Normal
2.6488,209,3728,tcp,ssh,CON,35835,65,Normal
0.7488,1861,4118,tcp,ftp,FIN,59635,371,Normal
0.0534,1055,90,udp,-,INT,25419,793,Normal
1.339,2320,2354,udp,ftp-data,FIN,19806,342,Normal
0.1381,4079,1364,icmp,smtp,REQ,34111,487,Normal
0.9149,3580,3032,icmp,http,INT,35751,419,Normal
0.0515,3185,3176,udp,ftp,INT,10408,597,Normal
1.7776,2857,4476,icmp,ftp-data,REQ,36177,909,Normal
0.0505,3185,2803,tcp,ftp-data,REQ,55762,266,Normal
0.5057,870,1762,icmp,-,CON,43389,196,Normal
0.4133,2052,4590,icmp,ftp,RST,7316,265,Normal
1.1169,4878,1714,udp,-,REQ,47760,498,Normal
0.6909,1656,1743,udp,smtp,FIN,16807,372,Normal
0.292,2040,352,udp,-,RST,44911,16,Normal
0.2391,1044,3320,udp,ftp,RST,56793,981,Normal
0.121,3460,1883,tcp,ftp-data,INT,12739,667,Normal
1.4423,4403,2735,udp,-,CON,23734,84,Normal
0.124,2737,393,tcp,ssh,RST,30071,151,Normal
0.5702,2820,1603,udp,ftp,INT,50526,899,Normal
0.1586,1005,883,icmp,-,CON,29016,306,Normal
0.8714,233,131,icmp,smtp,CON,16193,540,Normal
0.3366,1568,3985,icmp,ssh,CON,18722,180,Normal
0.6785,48,4714,tcp,smtp,CON,22558,434,Normal
1.0461,2684,4852,udp,-,INT,35319,220,Normal
0.5491,1889,2609,udp,irc,RST,43155,139,Normal
0.698,440,3355,icmp,ssh,INT,35835,549,Normal
0.1011,3906,582,udp,dns,FIN,46691,120,Normal
0.2966,411,4195,icmp,dns,CON,14037,302,Normal
0.5627,1781,4459,icmp,irc,FIN,1311,105,Normal
1.9577,3773,828,tcp,dns,FIN,7114,530,Normal
0.4125,133,4418,udp,ftp-data,INT,18501,286,Normal
3.7205,3370,2192,tcp,http,CON,15884,767,Normal
1.482,536,1543,icmp,ssh,REQ,51261,660,Normal
0.2501,2614,1694,udp,ssh,RST,23055,375,Normal
1.4423,2377,3330,udp,irc,FIN,28347,706,Normal
2.2741,3178,1685,tcp,http,INT,58064,441,Normal
0.4631,3759,708,tcp,ssh,INT,3495,646,Normal
0.7287,2791,4652,tcp,ftp,CON,51966,394,Normal
0.3367,11,3942,udp,dns,CON,56975,399,Normal
0.8143,1721,3671,tcp,irc,INT,64847,896,Normal
0.6601,2436,1415,icmp,-,REQ,37057,394,Normal
0.0671,4675,4324,udp,-,RST,10303,627,Normal
0.8689,1842,3111,udp,smtp,REQ,45241,659,Normal
2.6678,3465,1838,udp,-,RST,27951,105,Normal
0.9211,1059,4112,icmp,ftp,INT,55633,535,Normal
0.7748,2997,1785,udp,smtp,CON,46322,472,Normal
0.5429,1134,2884,tcp,http,CON,59515,289,Normal
0.2065,2818,3279,tcp,-,CON,31738,820,Normal
1.1725,1744,2581,tcp,-,FIN,1916,657,Normal
3.3653,1577,3706,udp,irc,FIN,36903,770,Normal
0.5433,2609,2427,icmp,irc,INT,22798,417,Normal
0.8834,1466,4236,udp,http,INT,37815,616,Normal
7.339,1903,3072,icmp,ssh,REQ,43829,50,Normal
0.6899,2772,1572,icmp,smtp,RST,10017,140,Normal
1.0797,2713,788,tcp,http,CON,60127,804,Normal
1.6049,3264,4531,tcp,irc,FIN,56040,521,Normal
0.0527,775,1966,tcp,irc,FIN,62152,556,Normal
0.478,4088,3289,tcp,smtp,CON,44071,37,Normal
0.9626,1900,1573,udp,-,CON,23743,993,Normal
1.6215,2603,4190,udp,dns,FIN,38897,151,Normal
3.1696,3539,1994,udp,ftp-data,INT,12132,791,Normal
0.2264,4150,2060,udp,dns,CON,17820,1013,Normal
1.5135,3770,119,icmp,dns,INT,65045,195,Normal
1.0194,4128,4674,icmp,smtp,CON,23728,150,Normal
2.3639,142,2914,tcp,irc,CON,54650,546,Normal
1.4798,3614,3087,udp,ftp,FIN,63673,963,Normal
0.7343,3550,208,udp,smtp,RST,62035,378,Normal
0.1183,4527,3622,udp,http,REQ,3824,955,Normal
0.3613,3208,714,icmp,dns,FIN,38624,998,Normal
0.4171,3424,598,icmp,http,RST,43017,377,Normal
0.3766,3205,261,icmp,smtp,INT,54281,622,Normal
2.1365,4559,3808,tcp,-,FIN,33149,709,Normal
0.0659,4800,3782,udp,irc,CON,42008,915,Normal
1.8614,319,3009,udp,http,FIN,15363,418,Normal
0.7182,4741,2048,icmp,ssh,CON,35717,423,Normal
0.6031,3553,2510,tcp,ssh,FIN,17721,575,Normal
1.5323,3604,2610,udp,irc,CON,38478,983,Normal
0.214,3090,2026,icmp,smtp,RST,7080,896,Normal
1.549,3266,2451,udp,ftp-data,INT,21644,17,Normal
1.0459,2317,4038,tcp,http,CON,36976,842,Normal
1.1713,2279,3744,tcp,http,RST,6789,924,Normal
0.8074,1817,589,tcp,ftp-data,RST,63446,58,Normal
1.4047,485,1059,udp,dns,FIN,61016,687,Normal
5.4572,514,676,tcp,-,FIN,62788,368,Normal
1.1013,4813,1747,tcp,ftp,FIN,46236,453,Normal
0.4382,3242,4297,udp,ssh,CON,63985,356,Normal
0.5494,2882,3419,tcp,smtp,INT,33374,539,Normal
0.5477,806,1009,tcp,ftp,CON,2208,440,Normal
0.3586,61,2506,tcp,-,CON,47034,859,Normal
0.0853,521,353,tcp,irc,CON,37415,286,Normal
3.105,2246,17,udp,ftp,REQ,24152,401,Normal
2.8904,277,4866,udp,ftp,FIN,35330,957,Normal
0.4878,98,1984,icmp,irc,FIN,38211,377,Normal
0.3538,3245,1446,icmp,irc,INT,17040,694,Normal
3.8607,3584,3939,udp,ftp,CON,37768,705,Normal
0.4094,3079,712,icmp,ftp,CON,53745,1002,Normal
0.3527,1810,1313,tcp,smtp,RST,14110,891,Normal
1.1684,2832,1961,icmp,http,REQ,48976,311,Normal
0.2469,2569,644,udp,http,RST,48035,365,Normal
0.7814,3290,2674,udp,ftp,CON,6020,754,Normal
0.7006,2203,496,tcp,ftp,REQ,24401,714,Normal
0.18,473,1058,tcp,-,FIN,18019,834,Normal
0.789,535,3956,icmp,dns,INT,24905,175,Normal
0.0183,4488,127,icmp,-,INT,51941,990,Normal
0.2456,3590,4252,udp,ftp,FIN,19561,990,Normal
1.3608,634,2112,icmp,smtp,CON,22470,876,Normal
0.2183,4700,755,icmp,ssh,FIN,12218,183,Normal
0.1702,2700,2756,udp,http,INT,48286,766,Normal
0.4071,1268,2392,tcp,ssh,INT,36038,922,Normal
1.0239,151,2619,udp,dns,REQ,55515,327,Normal
2.3682,1891,2481,icmp,dns,INT,21745,374,Normal
1.3547,112,270,udp,ftp,RST,63838,905,Normal
1.3869,1963,507,udp,http,CON,30667,951,Normal
2.2442,2387,290,icmp,dns,FIN,34389,409,Normal
4.1769,3986,2411,udp,-,INT,13829,4,Normal
2.2121,1790,1161,icmp,-,RST,45746,588,Normal
2.2358,52,2460,tcp,irc,CON,30593,913,Normal
0.276,1253,4825,icmp,ssh,CON,6594,131,Normal
0.2254,2794,4298,icmp,dns,CON,64266,429,Normal
2.4445,3886,2301,icmp,-,REQ,46576,324,Normal
0.4745,4166,1521,icmp,-,CON,8122,499,Normal
0.0726,4354,3579,icmp,-,RST,42440,120,Normal
0.8936,2082,466,udp,ssh,REQ,26886,877,Normal
0.5806,2110,3765,udp,irc,INT,11300,485,Normal
1.5838,521,2074,tcp,dns,CON,22163,677,Normal
2.9222,4845,2091,udp,http,CON,1065,950,Normal
0.2055,4033,4826,udp,smtp,RST,48041,824,Normal
0.5297,2349,4453,icmp,ftp,RST,52291,247,Normal
2.4845,330,1077,icmp,dns,CON,7677,636,Normal
0.9763,4521,2101,tcp,irc,CON,19105,153,Normal
0.7957,910,1084,tcp,ftp,FIN,36149,874,Normal
0.1897,786,3610,icmp,http,REQ,58962,108,Normal
0.4671,251,3588,tcp,dns,RST,62597,845,Normal
1.0149,1291,2075,udp,-,INT,61674,712,Normal
0.2209,582,2805,tcp,dns,REQ,19103,239,Normal
1.2371,2749,4490,udp,dns,INT,12925,25,Normal
3.2223,4615,4224,udp,smtp,REQ,40835,741,Normal
1.0892,2,4951,icmp,ftp-data,REQ,47317,875,Normal
0.6069,1125,4645,udp,http,CON,58408,303,Normal
0.1255,1648,4554,tcp,http,RST,45508,588,Normal
0.6613,2618,2520,tcp,-,REQ,17307,173,Normal
1.2258,2625,1096,tcp,http,RST,6849,534,Normal
0.163,3046,1751,udp,irc,INT,65180,819,Normal
1.0564,2058,3595,udp,ftp,FIN,54947,805,Normal
0.3926,4018,489,udp,http,RST,13915,590,Normal
0.0092,3564,1393,udp,dns,FIN,30952,100,Normal
1.4514,3691,473,udp,smtp,CON,12427,144,Normal
0.7764,71,3163,icmp,ssh,RST,25308,870,Normal
0.507,1175,4630,tcp,smtp,INT,49305,869,Normal
0.4119,1839,2206,tcp,dns,RST,1749,869,Normal
1.1197,122,2801,icmp,-,CON,10610,558,Normal
0.013,1212,3099,icmp,-,REQ,39123,563,Normal
0.1736,1355,379,tcp,ftp,INT,22947,281,Normal
0.1284,3205,2059,icmp,ftp-data,RST,30543,500,Normal
1.887,398,1016,udp,smtp,CON,52699,542,Normal
0.6423,1681,110,udp,ftp,FIN,40096,114,Normal
0.0628,3944,4150,tcp,ftp-data,CON,63292,188,Normal
0.7672,4462,2176,udp,ftp-data,RST,47449,427,Normal
0.9754,2324,1581,udp,-,FIN,52303,228,Normal
0.0751,3190,822,tcp,-,RST,52791,145,Normal
0.4197,4836,1709,udp,dns,FIN,55993,493,Normal
0.2402,295,2581,icmp,dns,FIN,31033,441,Normal
0.2075,2677,1053,tcp,http,FIN,60191,354,Normal
0.15,4994,3994,icmp,ftp-data,INT,57722,522,Normal
0.6437,2775,2196,udp,ssh,RST,34900,889,Normal
0.5757,3775,2365,icmp,-,INT,61142,604,Normal
1.2927,483,906,icmp,ftp-data,INT,55334,582,Normal
1.4199,674,1621,udp,http,INT,54164,801,Normal
0.7104,3604,1545,icmp,smtp,REQ,30700,682,Normal
0.3109,3661,3146,tcp,smtp,RST,8422,336,Normal
1.8994,85,3152,udp,ftp-data,CON,8549,381,Normal
1.0613,2423,1855,udp,smtp,INT,25240,408,Normal
0.0265,1286,9,tcp,http,FIN,42130,880,Normal
1.1786,2030,3749,tcp,-,CON,13665,717,Normal
1.0892,3545,1707,tcp,-,INT,64066,317,Normal
0.5429,4098,4187,udp,smtp,RST,41864,248,Normal
2.2308,240,4650,udp,irc,RST,50701,546,Normal
0.6924,448,2363,udp,dns,RST,23617,354,Normal
0.7785,613,114,icmp,-,FIN,50035,648,Normal
0.6277,2482,4694,icmp,dns,CON,50715,856,Normal
0.4842,1361,998,icmp,dns,CON,55230,394,Normal
0.7635,1281,3683,tcp,ssh,RST,60937,63,Normal
0.8139,1965,3498,udp,ssh,REQ,58643,247,Normal
0.164,1107,2544,udp,ftp,CON,12423,941,Normal
1.0507,1926,303,tcp,irc,REQ,59511,777,Normal
0.5133,2088,2970,icmp,http,FIN,20134,476,Normal
0.3614,3504,2120,udp,smtp,RST,17761,198,Normal
1.7252,433,4716,icmp,ssh,REQ,21696,360,Normal
0.0744,3830,4194,udp,dns,FIN,34350,149,Normal
0.0845,1024,133,tcp,ssh,FIN,53088,712,Normal
0.3581,3029,1280,tcp,smtp,FIN,59641,565,Normal
0.0857,2404,3251,udp,smtp,FIN,39844,899,Normal
